source_file,source_record,token,expiry,strike,atm_strike,atm_iv,atm_iv_change,atm_iv_percentile,atm_ivp_type,pcr,max_pain_strike,chain_pcr,iv_change,callDelta,gamma,impliedVolatility,putDelta,theta,vega,ce_instrument_token,ce_last_price,ce_net_change,ce_absolute_price_change,ce_oi,ce_oi_change,ce_is_liquid,ce_liquidity_warnings,ce_volume,ce_best_buy_price,ce_best_sell_price,ce_oi_change_quantity,ce_intrinsic_value,ce_intrinsic_value_from_spot,ce_time_value,ce_pop,ce_breakeven,ce_breakeven_percentage,pe_instrument_token,pe_last_price,pe_net_change,pe_absolute_price_change,pe_oi,pe_oi_change,pe_is_liquid,pe_liquidity_warnings,pe_volume,pe_best_buy_price,pe_best_sell_price,pe_oi_change_quantity,pe_intrinsic_value,pe_intrinsic_value_from_spot,pe_time_value,pe_pop,pe_breakeven,pe_breakeven_percentage
256265_2026-03-17.jsonl,1,256265,2026-03-17,21550,23550,,,,,1.16,23600,1024,,1,0,0,0,0,0,14744066,2049.4,0.14,259.25,520,7,false,high-bid-offer-spread,455,2010.7,2101.3,455,2023.29,2031.15,26.11,0,23599.4,0.08,14744322,0.05,-0.98,-2.35,265070,-0.453,false,high-bid-offer-spread,2445235,0,0.1,-219635,0,0,0.05,,21549.95,-8.61
256265_2026-03-17.jsonl,1,256265,2026-03-17,21600,23550,,,,,1.16,23600,,,1,0,0,0,0,0,14744578,0,,,0,0,false,,0,1935.95,2083.1,0,1973.29,1981.15,,,,,14744834,0.05,-0.98,-2.45,436540,-0.729,false,high-bid-offer-spread,5208450,0,0.05,-1172275,0,0,0.05,,21599.95,-8.4
256265_2026-03-17.jsonl,1,256265,2026-03-17,21650,23550,,,,,1.16,23600,1036.5,,1,0,0,0,0,0,14745090,1970,0.28,431.8499999999999,195,2,false,high-bid-offer-spread,390,1912.95,2003.75,130,1923.29,1931.15,46.71,0,23620,0.16,14747394,0.05,-0.98,-2.7,269165,-0.526,false,high-bid-offer-spread,2204475,0,0.05,-299195,0,0,0.05,,21649.95,-8.19
256265_2026-03-17.jsonl,1,256265,2026-03-17,21700,23550,,,,,1.16,23600,,,1,0,0,0,0,0,14747650,0,,,0,0,false,,0,1837.4,1986.15,0,1873.29,1881.15,,,,,14749442,0.05,-0.98,-2.8000000000000003,569595,-0.839,false,high-bid-offer-spread,9359285,0,0.05,-2959060,0,0,0.05,,21699.95,-7.98
256265_2026-03-17.jsonl,1,256265,2026-03-17,21750,23550,,,,,1.16,23600,200.47,,1,0,0,0,0,0,14749698,1846.6,-0.57,-2473.2999999999997,1950,0,false,high-bid-offer-spread,1950,1824.85,1899.75,1950,1823.29,1831.15,23.31,0,23596.6,0.07,14750978,0.05,-0.98,-3.1500000000000004,245245,-0.77,false,high-bid-offer-spread,4564820,0,0.05,-821925,0,0,0.05,0,21749.95,-7.77
256265_2026-03-17.jsonl,1,256265,2026-03-17,21800,23550,,,,,1.16,23600,1210.21,,1,0,0,0,0,0,14751234,1680,0.18,260.5,910,0,false,high-bid-offer-spread,65,1776.75,1908.1,0,1773.29,1781.15,-93.29,0,23480,-0.43,14751490,0.05,-0.99,-3.4000000000000004,1099475,-0.692,false,high-bid-offer-spread,14309685,0,0.05,-2465060,0,0,0.05,0,21799.95,-7.55
256265_2026-03-17.jsonl,1,256265,2026-03-17,21850,23550,,,,,1.16,23600,479.88,,1,0,0,0,0,0,14751746,1751.95,-0.58,-2468.55,1820,0,false,high-bid-offer-spread,1820,1727.35,1786.25,1820,1723.29,1731.15,28.66,0,23601.95,0.09,14752002,0.05,-0.99,-3.8000000000000003,440895,-0.553,true,,7546890,0.05,0.1,-544895,0,0,0.05,0,21849.95,-7.34
256265_2026-03-17.jsonl,1,256265,2026-03-17,21900,23550,,,,,1.16,23600,4312.67,,1,0,0,0,0,0,14752258,1600.6,0.27,338.6999999999998,260,0,false,high-bid-offer-spread,780,1674.8,1698.95,260,1673.29,1681.15,-72.69,0,23500.6,-0.34,14752514,0.05,-0.99,-4.05,834405,-0.658,false,high-bid-offer-spread,9720295,0,0.05,-1608230,0,0,0.05,0,21899.95,-7.13
256265_2026-03-17.jsonl,1,256265,2026-03-17,21950,23550,,,,,1.16,23600,579.55,,1,0,0,0,0,0,14752770,1637.9,-0.6,-2483.2499999999995,1105,0,false,high-bid-offer-spread,1625,1620.7,1712.15,1105,1623.29,1631.15,14.61,0,23587.9,0.03,14753538,0.05,-0.99,-4.4,411255,-0.29,false,high-bid-offer-spread,8114535,0,0.05,-168350,0,0,0.05,0,21949.95,-6.92
256265_2026-03-17.jsonl,1,256265,2026-03-17,22000,23550,,,,,1.16,23600,420.46,,1,0,0,0,0,0,14753794,1581.7,0.15,202.25,14170,-0.608,true,,49465,1578.25,1583.75,-21970,1573.29,1581.15,8.41,0,23581.7,0,14755586,0.05,-0.99,-4.9,5816070,-0.506,true,,60880365,0.05,0.1,-5963815,0,0,0.05,0,21999.95,-6.71
